date,tsurf,t1000,active_year,day_of_the_year
2010-12-16,13.316706657409668,13.512985229492188,2010,353
2010-12-23,13.04494857788086,13.480576515197754,2010,360
2010-12-30,12.74383544921875,13.403103828430176,2011,2
2011-01-06,12.549993515014648,13.4006929397583,2011,9
2011-01-13,12.875965118408203,13.454493522644043,2011,16
2011-01-20,12.811668395996094,13.450764656066895,2011,23
2011-01-27,12.742295265197754,13.44737434387207,2011,30
2011-02-03,12.79051399230957,13.467241287231445,2011,37
2011-02-10,12.795500755310059,13.497177124023438,2011,44
2011-02-17,12.898756980895996,13.555303573608398,2011,51
2011-02-24,12.969317436218262,13.556907653808594,2011,58
2011-03-03,13.069045066833496,13.552595138549805,2011,65
2011-03-10,13.185012817382812,13.565054893493652,2011,72
2011-03-17,13.934807777404785,13.549633026123047,2011,79
2011-03-24,15.86330795288086,13.59129524230957,2011,86
2011-03-31,16.529064178466797,13.618298530578613,2011,93
2011-04-07,17.17211151123047,13.581025123596191,2011,100
2011-04-14,17.870206832885742,13.616421699523926,2011,107
2011-04-21,18.505542755126953,13.593718528747559,2011,114
2011-04-28,19.22566032409668,13.624817848205566,2011,121
2011-05-05,19.9064998626709,13.65316104888916,2011,128
2011-05-12,20.909244537353516,13.605659484863281,2011,135
2011-05-19,21.671829223632812,13.553832054138184,2011,142
2011-05-26,22.504552841186523,13.53504753112793,2011,149
2011-06-02,23.143163681030273,13.510052680969238,2011,156
2011-06-09,23.606517791748047,13.512297630310059,2011,163
2011-06-16,24.17091941833496,13.474103927612305,2011,170
2011-06-23,24.573604583740234,13.44903564453125,2011,177
2011-06-30,24.85374641418457,13.411550521850586,2011,184
2011-07-07,25.25248146057129,13.419776916503906,2011,191
2011-07-14,25.5473575592041,13.42680835723877,2011,198
2011-07-21,25.799434661865234,13.444499015808105,2011,205
2011-07-28,25.966768264770508,13.456929206848145,2011,212
2011-08-04,26.155872344970703,13.465835571289062,2011,219
2011-08-11,26.029390335083008,13.464624404907227,2011,226
2011-08-18,26.007041931152344,13.50564193725586,2011,233
2011-08-25,21.96914291381836,13.495691299438477,2011,240
2011-09-01,20.687105178833008,13.514570236206055,2011,247
2011-09-08,20.26987075805664,13.493288040161133,2011,254
2011-09-15,20.035655975341797,13.485119819641113,2011,261
2011-09-22,19.970224380493164,13.480509757995605,2011,268
2011-09-29,19.900192260742188,13.477283477783203,2011,275
2011-10-06,19.846912384033203,13.4722261428833,2011,282
2011-10-13,19.673683166503906,13.482660293579102,2011,289
2011-10-20,19.459735870361328,13.467512130737305,2011,296
2011-10-27,18.763689041137695,13.481094360351562,2011,303
2011-11-03,18.58028221130371,13.472569465637207,2011,310
2011-11-10,17.98388671875,13.47530746459961,2011,317
2011-11-17,17.603246688842773,13.46208667755127,2011,324
2011-11-24,17.13059425354004,13.48206615447998,2011,331
2011-12-01,16.75041961669922,13.526266098022461,2011,338
2011-12-08,16.349916458129883,13.554932594299316,2011,345
2011-12-15,15.930206298828125,13.5623140335083,2011,352
2011-12-22,15.62610149383545,13.559131622314453,2011,359
2011-12-29,15.265443801879883,13.543426513671875,2012,1
2012-01-05,14.977745056152344,13.515575408935547,2012,8
2012-01-12,14.697619438171387,13.433292388916016,2012,15
2012-01-19,14.503090858459473,13.372933387756348,2012,22
2012-01-26,14.376824378967285,13.361403465270996,2012,29
2012-02-02,14.241740226745605,13.321562767028809,2012,36
2012-02-09,14.281610488891602,13.31338119506836,2012,43
2012-02-16,14.460179328918457,13.315614700317383,2012,50
2012-02-23,14.691393852233887,13.335220336914062,2012,57
2012-03-01,14.877312660217285,13.383172988891602,2012,64
2012-03-08,15.067699432373047,13.390162467956543,2012,71
2012-03-15,15.348978996276855,13.419035911560059,2012,78
2012-03-22,15.900504112243652,13.445727348327637,2012,85
2012-03-29,16.455678939819336,13.469194412231445,2012,92
2012-04-05,16.807300567626953,13.487265586853027,2012,99
2012-04-12,17.323259353637695,13.505163192749023,2012,106
2012-04-19,17.941560745239258,13.499740600585938,2012,113
2012-04-26,18.833478927612305,13.527182579040527,2012,120
2012-05-03,19.75217628479004,13.511280059814453,2012,127
2012-05-10,20.601425170898438,13.510615348815918,2012,134
2012-05-17,21.48503875732422,13.468491554260254,2012,141
2012-05-24,22.526185989379883,13.48122787475586,2012,148
2012-05-31,23.6369686126709,13.477250099182129,2012,155
2012-06-07,24.365680694580078,13.467679977416992,2012,162
2012-06-14,25.024782180786133,13.469277381896973,2012,169
2012-06-21,25.622852325439453,13.478864669799805,2012,176
2012-06-28,26.042457580566406,13.482316970825195,2012,183
2012-07-05,26.301172256469727,13.532220840454102,2012,190
2012-07-12,26.542661666870117,13.534855842590332,2012,197
2012-07-19,26.49891471862793,13.547415733337402,2012,204
2012-07-26,26.42487335205078,13.570069313049316,2012,211
2012-08-02,26.1731014251709,13.568144798278809,2012,218
2012-08-09,25.799041748046875,13.553241729736328,2012,225
2012-08-16,24.93083953857422,13.55208683013916,2012,232
2012-08-23,23.973155975341797,13.553040504455566,2012,239
2012-08-30,23.42420196533203,13.550172805786133,2012,246
2012-09-06,23.17748260498047,13.55324649810791,2012,253
2012-09-13,22.83883285522461,13.552952766418457,2012,260
2012-09-20,22.4257755279541,13.511252403259277,2012,267
2012-09-27,22.018287658691406,13.516546249389648,2012,274
2012-10-04,21.532758712768555,13.504961013793945,2012,281
2012-10-11,20.70101547241211,13.483480453491211,2012,288
2012-10-18,19.609712600708008,13.46747875213623,2012,295
2012-10-25,18.95597267150879,13.45608139038086,2012,302
2012-11-01,18.24717140197754,13.446948051452637,2012,309
2012-11-08,17.624528884887695,13.468780517578125,2012,316
2012-11-15,17.19731330871582,13.472698211669922,2012,323
2012-11-22,16.756088256835938,13.470715522766113,2012,330
2012-11-29,16.331575393676758,13.476259231567383,2012,337
2012-12-06,15.771912574768066,13.454142570495605,2012,344
2012-12-13,15.386966705322266,13.444955825805664,2012,351
2012-12-20,14.979691505432129,13.421796798706055,2012,358
2012-12-27,14.624872207641602,13.384814262390137,2012,365
2013-01-03,14.248699188232422,13.331680297851562,2013,6
2013-01-10,13.957923889160156,13.307488441467285,2013,13
2013-01-17,13.727678298950195,13.2763671875,2013,20
2013-01-24,13.65567398071289,13.272289276123047,2013,27
2013-01-31,13.585888862609863,13.256622314453125,2013,34
2013-02-07,13.558233261108398,13.245392799377441,2013,41
2013-02-14,13.580472946166992,13.243624687194824,2013,48
2013-02-21,13.613327980041504,13.242080688476562,2013,55
2013-02-28,13.783622741699219,13.235357284545898,2013,62
2013-03-07,14.00554370880127,13.23215103149414,2013,69
2013-03-14,14.188399314880371,13.229608535766602,2013,76
2013-03-21,14.478849411010742,13.23579216003418,2013,83
2013-03-28,15.021561622619629,13.243026733398438,2013,90
2013-04-04,15.6342191696167,13.274164199829102,2013,97
2013-04-11,16.241207122802734,13.300406455993652,2013,104
2013-04-18,16.817808151245117,13.340203285217285,2013,111
2013-04-25,17.466928482055664,13.372842788696289,2013,118
2013-05-02,18.18073272705078,13.40204906463623,2013,125
2013-05-09,18.834516525268555,13.421220779418945,2013,132
2013-05-16,19.399709701538086,13.44770336151123,2013,139
2013-05-23,19.945646286010742,13.439367294311523,2013,146
2013-05-30,20.92397117614746,13.428504943847656,2013,153
2013-06-06,22.184959411621094,13.41708755493164,2013,160
2013-06-13,22.924964904785156,13.426115036010742,2013,167
2013-06-20,23.686742782592773,13.420859336853027,2013,174
2013-06-27,24.17899513244629,13.418681144714355,2013,181
2013-07-04,24.76697540283203,13.40478515625,2013,188
2013-07-11,25.029958724975586,13.399637222290039,2013,195
2013-07-18,25.226364135742188,13.413090705871582,2013,202
2013-07-25,25.574825286865234,13.421448707580566,2013,209
2013-08-01,25.37656021118164,13.417424201965332,2013,216
2013-08-08,24.917869567871094,13.389138221740723,2013,223
2013-08-15,24.494474411010742,13.379240989685059,2013,230
2013-08-22,23.95222282409668,13.383870124816895,2013,237
2013-08-29,23.486818313598633,13.374852180480957,2013,244
2013-09-05,23.019838333129883,13.359197616577148,2013,251
2013-09-12,22.530006408691406,13.359548568725586,2013,258
2013-09-19,22.221105575561523,13.369039535522461,2013,265
2013-09-26,20.622724533081055,13.397876739501953,2013,272
2013-10-03,19.719318389892578,13.418911933898926,2013,279
2013-10-10,19.353116989135742,13.431296348571777,2013,286
2013-10-17,18.868194580078125,13.457999229431152,2013,293
2013-10-24,18.42259979248047,13.482585906982422,2013,300
2013-10-31,17.899845123291016,13.48141860961914,2013,307
2013-11-07,17.305831909179688,12.79344654083252,2013,314
2013-11-14,16.7032470703125,12.5260009765625,2013,321
2013-11-21,16.141136169433594,12.189809799194336,2013,328
2013-11-28,14.809669494628906,12.183324813842773,2013,335
2013-12-05,14.277503967285156,12.164680480957031,2013,342
2013-12-12,14.135239601135254,12.167426109313965,2013,349
2013-12-19,14.00597095489502,12.2062349319458,2013,356
2013-12-26,13.950883865356445,12.673470497131348,2013,363
2014-01-02,13.949617385864258,13.019889831542969,2014,5
2014-01-09,13.952990531921387,13.498427391052246,2014,12
2014-01-16,14.450439453125,13.487951278686523,2014,19
2014-01-23,14.74854564666748,13.475830078125,2014,26
2014-01-30,14.72925090789795,13.472887992858887,2014,33
2014-02-06,14.764608383178711,13.477688789367676,2014,40
2014-02-13,14.788331985473633,13.481526374816895,2014,47
2014-02-20,14.834784507751465,13.485525131225586,2014,54
2014-02-27,15.023128509521484,13.51733684539795,2014,61
2014-03-06,15.270142555236816,13.545759201049805,2014,68
2014-03-13,15.546116828918457,13.582756996154785,2014,75
2014-03-20,15.858352661132812,13.619403839111328,2014,82
2014-03-27,16.200237274169922,13.62890338897705,2014,89
2014-04-03,16.597322463989258,13.643720626831055,2014,96
2014-04-10,17.126203536987305,13.648412704467773,2014,103
2014-04-17,17.610881805419922,13.635040283203125,2014,110
2014-04-24,18.275489807128906,13.626287460327148,2014,117
2014-05-01,18.975858688354492,13.61571979522705,2014,124
2014-05-08,19.770164489746094,13.615167617797852,2014,131
2014-05-15,20.4722900390625,13.579239845275879,2014,138
2014-05-22,21.135587692260742,13.516521453857422,2014,145
2014-05-29,21.76262664794922,13.484041213989258,2014,152
2014-06-05,22.32394790649414,13.460290908813477,2014,159
2014-06-12,22.842254638671875,13.444483757019043,2014,166
2014-06-19,23.22533416748047,13.437337875366211,2014,173
2014-06-26,23.535907745361328,13.39714241027832,2014,180
2014-07-03,23.72791290283203,13.420769691467285,2014,187
2014-07-10,23.97791290283203,13.440133094787598,2014,194
2014-07-17,24.362483978271484,13.446077346801758,2014,201
2014-07-24,24.637311935424805,13.465144157409668,2014,208
2014-07-31,24.80792808532715,13.443050384521484,2014,215
