Estado - Sigla,Municipio,Produto,Valor de Venda,Bandeira
PB,SOUSA,GASOLINA,6.68,VIBRA ENERGIA
PB,SOUSA,DIESEL S10,5.47,BRANCA
PB,SOUSA,DIESEL,5.36,BRANCA
PB,SOUSA,GASOLINA,6.6,BRANCA
PB,SOUSA,DIESEL S10,5.59,ALESAT
PB,SOUSA,GASOLINA ADITIVADA,6.83,ALESAT
PB,SOUSA,GASOLINA,6.73,ALESAT
PB,CABEDELO,GASOLINA,6.58,IPIRANGA
PB,CABEDELO,DIESEL,5.39,IPIRANGA
PB,CABEDELO,DIESEL S10,5.49,IPIRANGA
PB,CABEDELO,ETANOL,5.29,IPIRANGA
PB,CABEDELO,GASOLINA ADITIVADA,6.78,IPIRANGA
PB,CABEDELO,DIESEL,5.49,IPIRANGA
PB,CABEDELO,DIESEL S10,5.59,IPIRANGA
PB,CABEDELO,ETANOL,5.39,IPIRANGA
PB,CABEDELO,GASOLINA,6.59,IPIRANGA
PB,CABEDELO,GASOLINA ADITIVADA,6.79,IPIRANGA
PB,CABEDELO,DIESEL S10,5.68,BRANCA
PB,CABEDELO,ETANOL,4.98,BRANCA
PB,CABEDELO,GASOLINA,6.58,BRANCA
PB,CABEDELO,GASOLINA ADITIVADA,6.58,BRANCA
PB,CABEDELO,GASOLINA,6.55,RAIZEN
PB,CABEDELO,DIESEL,5.28,RAIZEN
PB,CABEDELO,ETANOL,5.15,RAIZEN
PB,CABEDELO,ETANOL,4.99,VIBRA ENERGIA
PB,CABEDELO,GASOLINA ADITIVADA,6.54,VIBRA ENERGIA
PB,CABEDELO,DIESEL,5.48,SETTA DISTRIBUIDORA
PB,CABEDELO,DIESEL S10,5.57,SETTA DISTRIBUIDORA
PB,CABEDELO,ETANOL,5.09,SETTA DISTRIBUIDORA
PB,CABEDELO,GASOLINA,6.49,SETTA DISTRIBUIDORA
PB,CABEDELO,GASOLINA ADITIVADA,6.59,SETTA DISTRIBUIDORA
PB,BAYEUX,GASOLINA,6.61,VIBRA ENERGIA
PB,BAYEUX,ETANOL,5.63,VIBRA ENERGIA
PB,BAYEUX,DIESEL,5.54,VIBRA ENERGIA
PB,BAYEUX,DIESEL S10,5.59,VIBRA ENERGIA
PB,BAYEUX,GASOLINA,6.49,BRANCA
PB,BAYEUX,ETANOL,5.09,BRANCA
PB,BAYEUX,DIESEL,5.39,BRANCA
PB,BAYEUX,DIESEL S10,5.49,BRANCA
PB,BAYEUX,GNV,4.65,BRANCA
PB,BAYEUX,GASOLINA,6.59,VIBRA ENERGIA
PB,BAYEUX,DIESEL,5.36,VIBRA ENERGIA
PB,BAYEUX,GASOLINA ADITIVADA,6.69,VIBRA ENERGIA
PB,BAYEUX,DIESEL S10,5.49,VIBRA ENERGIA
PB,BAYEUX,GNV,4.87,VIBRA ENERGIA
PB,BAYEUX,GASOLINA,6.47,VIBRA ENERGIA
PB,BAYEUX,ETANOL,5.09,VIBRA ENERGIA
PB,BAYEUX,DIESEL,5.39,VIBRA ENERGIA
PB,BAYEUX,DIESEL S10,5.49,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.44,BRANCA
PB,JOAO PESSOA,ETANOL,4.88,BRANCA
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.44,BRANCA
PB,JOAO PESSOA,DIESEL S10,5.34,BRANCA
PB,JOAO PESSOA,GASOLINA,6.49,BRANCA
PB,JOAO PESSOA,ETANOL,4.99,BRANCA
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.49,BRANCA
PB,JOAO PESSOA,DIESEL S10,5.59,BRANCA
PB,JOAO PESSOA,GASOLINA,6.49,VIBRA ENERGIA
PB,JOAO PESSOA,ETANOL,4.99,VIBRA ENERGIA
PB,JOAO PESSOA,DIESEL S10,5.52,VIBRA ENERGIA
PB,JOAO PESSOA,GNV,4.64,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.44,IPIRANGA
PB,JOAO PESSOA,ETANOL,4.99,IPIRANGA
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.64,IPIRANGA
PB,JOAO PESSOA,DIESEL S10,5.49,IPIRANGA
PB,JOAO PESSOA,GASOLINA,6.47,BRANCA
PB,JOAO PESSOA,ETANOL,4.99,BRANCA
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.52,BRANCA
PB,JOAO PESSOA,DIESEL S10,5.49,BRANCA
PB,JOAO PESSOA,GASOLINA,6.47,BRANCA
PB,JOAO PESSOA,ETANOL,4.99,BRANCA
PB,JOAO PESSOA,DIESEL S10,5.59,BRANCA
PB,JOAO PESSOA,GASOLINA,6.59,VIBRA ENERGIA
PB,JOAO PESSOA,DIESEL,5.36,VIBRA ENERGIA
PB,JOAO PESSOA,ETANOL,5.09,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.69,VIBRA ENERGIA
PB,JOAO PESSOA,DIESEL S10,5.49,VIBRA ENERGIA
PB,JOAO PESSOA,GNV,4.87,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.44,VIBRA ENERGIA
PB,JOAO PESSOA,ETANOL,4.99,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.64,VIBRA ENERGIA
PB,JOAO PESSOA,DIESEL S10,5.49,VIBRA ENERGIA
PB,JOAO PESSOA,GNV,4.63,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.47,RAIZEN
PB,JOAO PESSOA,ETANOL,4.99,RAIZEN
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.59,RAIZEN
PB,JOAO PESSOA,DIESEL S10,5.49,RAIZEN
PB,BAYEUX,GASOLINA,6.59,VIBRA ENERGIA
PB,BAYEUX,ETANOL,5.79,VIBRA ENERGIA
PB,BAYEUX,GASOLINA ADITIVADA,6.75,VIBRA ENERGIA
PB,BAYEUX,DIESEL S10,5.62,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.47,VIBRA ENERGIA
PB,JOAO PESSOA,ETANOL,4.99,VIBRA ENERGIA
PB,JOAO PESSOA,DIESEL S10,5.49,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.47,BRANCA
PB,JOAO PESSOA,ETANOL,4.99,BRANCA
PB,JOAO PESSOA,DIESEL,5.39,BRANCA
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.57,BRANCA
PB,JOAO PESSOA,DIESEL S10,5.49,BRANCA
PB,JOAO PESSOA,GASOLINA,6.47,BRANCA
PB,JOAO PESSOA,ETANOL,4.99,BRANCA
PB,JOAO PESSOA,DIESEL,5.29,BRANCA
PB,JOAO PESSOA,DIESEL S10,5.49,BRANCA
PB,BAYEUX,GASOLINA,6.43,ALESAT
PB,BAYEUX,ETANOL,4.99,ALESAT
PB,BAYEUX,DIESEL S10,5.29,ALESAT
PB,BAYEUX,GNV,4.63,ALESAT
PB,BAYEUX,GASOLINA,6.43,RAIZEN
PB,BAYEUX,ETANOL,4.99,RAIZEN
